salario,educacion,experiencia
2420.4,18,26
1292.6,8,16
722.3,6,2
1757.3,15,13
1260.5,11,8
1876.7,13,20
1410.6,7,25
1153.2,11,0
1951.0,15,14
1386.0,11,13
2643.6,18,30
2114.1,17,11
1782.1,16,5
2029.6,19,6
1870.2,16,14
1349.7,8,18
1963.4,18,10
1793.7,15,13
1232.6,7,20
1262.0,10,9
1642.3,8,29
2036.7,20,6
2200.9,16,28
2444.8,19,27
1686.9,10,29
1984.1,15,24
1815.2,15,16
2177.6,17,18
864.4,7,6
1555.4,13,10
1747.0,15,14
2475.2,18,29
1965.6,15,24
1583.1,12,17
1785.3,12,18
1400.0,11,13
1232.2,8,13
1722.3,10,27
830.8,8,0
1115.9,9,9
